"wbic","year","survey.seq.no","survey.begin.date","survey.end.date","month","daytype","n.marks.recapped","totalFishExamined"
394400,2022,515097064,2022-05-07,2023-03-05,7,"weekday",0,2
394400,2022,515097064,2022-05-07,2023-03-05,7,"weekend",0,6
394400,2022,515097064,2022-05-07,2023-03-05,8,"weekday",0,6
394400,2022,515097064,2022-05-07,2023-03-05,8,"weekend",2,12
394400,2022,515097064,2022-05-07,2023-03-05,9,"weekday",1,3
394400,2022,515097064,2022-05-07,2023-03-05,9,"weekend",1,5
394400,2022,515097064,2022-05-07,2023-03-05,10,"weekday",0,2
396500,2006,98228,2006-05-06,2007-03-04,1,"weekend",0,1
396500,2006,98228,2006-05-06,2007-03-04,5,"weekday",0,1
396500,2006,98228,2006-05-06,2007-03-04,5,"weekend",1,1
396500,2006,98228,2006-05-06,2007-03-04,6,"weekday",0,4
396500,2006,98228,2006-05-06,2007-03-04,6,"weekend",1,1
396500,2006,98228,2006-05-06,2007-03-04,7,"weekday",0,3
396500,2006,98228,2006-05-06,2007-03-04,7,"weekend",1,4
396500,2006,98228,2006-05-06,2007-03-04,8,"weekday",1,1
396500,2006,98228,2006-05-06,2007-03-04,8,"weekend",1,2
396500,2006,98228,2006-05-06,2007-03-04,10,"weekday",0,3
396500,2018,515086532,2018-05-05,2019-03-03,1,"weekday",1,1
396500,2018,515086532,2018-05-05,2019-03-03,1,"weekend",1,1
396500,2018,515086532,2018-05-05,2019-03-03,2,"weekend",0,1
396500,2018,515086532,2018-05-05,2019-03-03,5,"weekday",1,4
396500,2018,515086532,2018-05-05,2019-03-03,6,"weekday",0,1
396500,2018,515086532,2018-05-05,2019-03-03,7,"weekend",3,7
396500,2018,515086532,2018-05-05,2019-03-03,9,"weekday",0,1
417400,2011,158328841,2011-05-07,2012-03-04,1,"weekday",1,1
417400,2011,158328841,2011-05-07,2012-03-04,1,"weekend",1,2
417400,2011,158328841,2011-05-07,2012-03-04,5,"weekday",0,1
417400,2011,158328841,2011-05-07,2012-03-04,5,"weekend",0,1
417400,2011,158328841,2011-05-07,2012-03-04,6,"weekday",1,1
417400,2011,158328841,2011-05-07,2012-03-04,6,"weekend",2,3
417400,2011,158328841,2011-05-07,2012-03-04,7,"weekday",0,2
417400,2011,158328841,2011-05-07,2012-03-04,9,"weekday",0,2
417400,2011,158328841,2011-05-07,2012-03-04,12,"weekend",0,1
417900,2016,515081381,2016-05-07,2017-03-05,5,"weekend",1,1
417900,2016,515081381,2016-05-07,2017-03-05,6,"weekday",0,1
418700,2016,515081360,2016-05-07,2017-03-05,1,"weekday",1,1
418700,2016,515081360,2016-05-07,2017-03-05,2,"weekend",0,1
418700,2016,515081360,2016-05-07,2017-03-05,7,"weekday",0,1
418700,2016,515081360,2016-05-07,2017-03-05,12,"weekday",0,2
439800,2008,810895,2008-05-03,2009-03-01,1,"weekend",0,1
439800,2008,810895,2008-05-03,2009-03-01,2,"weekend",0,1
439800,2008,810895,2008-05-03,2009-03-01,6,"weekday",4,4
439800,2008,810895,2008-05-03,2009-03-01,6,"weekend",3,4
439800,2008,810895,2008-05-03,2009-03-01,7,"weekday",1,2
439800,2008,810895,2008-05-03,2009-03-01,7,"weekend",1,1
439800,2008,810895,2008-05-03,2009-03-01,8,"weekday",4,9
439800,2008,810895,2008-05-03,2009-03-01,8,"weekend",1,3
439800,2008,810895,2008-05-03,2009-03-01,10,"weekend",1,1
439800,2008,810895,2008-05-03,2009-03-01,12,"weekend",0,2
478200,2018,515086676,2018-05-05,2019-03-03,5,"weekday",2,4
478200,2018,515086676,2018-05-05,2019-03-03,5,"weekend",1,2
478200,2018,515086676,2018-05-05,2019-03-03,7,"weekday",1,1
478200,2018,515086676,2018-05-05,2019-03-03,8,"weekday",2,3
478200,2018,515086676,2018-05-05,2019-03-03,9,"weekday",0,6
555700,2019,515089463,2019-05-04,2020-03-01,1,"weekend",0,1
555700,2019,515089463,2019-05-04,2020-03-01,2,"weekend",0,1
555700,2019,515089463,2019-05-04,2020-03-01,8,"weekday",0,2
555700,2019,515089463,2019-05-04,2020-03-01,8,"weekend",0,1
555700,2019,515089463,2019-05-04,2020-03-01,9,"weekday",1,1
555700,2019,515089463,2019-05-04,2020-03-01,12,"weekday",0,4
653700,2004,95789,2004-05-01,2005-03-06,1,"weekday",0,7
653700,2004,95789,2004-05-01,2005-03-06,1,"weekend",0,3
653700,2004,95789,2004-05-01,2005-03-06,2,"weekday",0,1
653700,2004,95789,2004-05-01,2005-03-06,2,"weekend",0,4
653700,2004,95789,2004-05-01,2005-03-06,5,"weekday",0,5
653700,2004,95789,2004-05-01,2005-03-06,5,"weekend",1,9
653700,2004,95789,2004-05-01,2005-03-06,6,"weekday",0,9
653700,2004,95789,2004-05-01,2005-03-06,6,"weekend",0,1
653700,2004,95789,2004-05-01,2005-03-06,7,"weekday",2,5
653700,2004,95789,2004-05-01,2005-03-06,7,"weekend",0,1
653700,2004,95789,2004-05-01,2005-03-06,9,"weekend",0,2
653700,2004,95789,2004-05-01,2005-03-06,10,"weekday",0,1
653700,2004,95789,2004-05-01,2005-03-06,10,"weekend",0,2
653700,2004,95789,2004-05-01,2005-03-06,12,"weekday",0,1
677100,2007,96265,2007-05-05,2008-03-02,1,"weekend",0,1
677100,2007,96265,2007-05-05,2008-03-02,5,"weekend",0,1
677100,2007,96265,2007-05-05,2008-03-02,7,"weekday",0,1
677100,2007,96265,2007-05-05,2008-03-02,9,"weekend",0,1
683000,2008,810798,2008-05-03,2009-03-01,1,"weekday",0,1
683000,2008,810798,2008-05-03,2009-03-01,1,"weekend",2,4
683000,2008,810798,2008-05-03,2009-03-01,2,"weekend",0,2
683000,2008,810798,2008-05-03,2009-03-01,5,"weekday",5,11
683000,2008,810798,2008-05-03,2009-03-01,5,"weekend",14,42
683000,2008,810798,2008-05-03,2009-03-01,6,"weekday",0,2
683000,2008,810798,2008-05-03,2009-03-01,6,"weekend",5,12
683000,2008,810798,2008-05-03,2009-03-01,7,"weekday",0,2
683000,2008,810798,2008-05-03,2009-03-01,7,"weekend",1,3
683000,2008,810798,2008-05-03,2009-03-01,8,"weekday",0,2
683000,2008,810798,2008-05-03,2009-03-01,9,"weekday",0,1
683000,2008,810798,2008-05-03,2009-03-01,9,"weekend",1,2
683000,2008,810798,2008-05-03,2009-03-01,10,"weekday",0,1
683000,2008,810798,2008-05-03,2009-03-01,10,"weekend",0,1
683000,2008,810798,2008-05-03,2009-03-01,12,"weekday",0,2
683000,2008,810798,2008-05-03,2009-03-01,12,"weekend",1,20
692400,2004,95881,2004-05-01,2005-03-06,1,"weekday",0,2
692400,2004,95881,2004-05-01,2005-03-06,5,"weekday",0,1
692400,2004,95881,2004-05-01,2005-03-06,5,"weekend",1,7
692400,2004,95881,2004-05-01,2005-03-06,6,"weekday",2,5
692400,2004,95881,2004-05-01,2005-03-06,6,"weekend",1,7
692400,2004,95881,2004-05-01,2005-03-06,7,"weekday",0,1
692400,2004,95881,2004-05-01,2005-03-06,7,"weekend",0,3
692400,2004,95881,2004-05-01,2005-03-06,8,"weekday",1,4
692400,2004,95881,2004-05-01,2005-03-06,8,"weekend",2,10
692400,2004,95881,2004-05-01,2005-03-06,9,"weekday",1,1
692400,2004,95881,2004-05-01,2005-03-06,9,"weekend",2,10
692400,2004,95881,2004-05-01,2005-03-06,10,"weekend",2,7
692400,2017,515084250,2017-05-06,2018-03-04,1,"weekday",0,1
692400,2017,515084250,2017-05-06,2018-03-04,2,"weekday",1,1
692400,2017,515084250,2017-05-06,2018-03-04,2,"weekend",2,4
692400,2017,515084250,2017-05-06,2018-03-04,5,"weekday",0,3
692400,2017,515084250,2017-05-06,2018-03-04,5,"weekend",2,5
692400,2017,515084250,2017-05-06,2018-03-04,6,"weekday",0,1
692400,2017,515084250,2017-05-06,2018-03-04,6,"weekend",2,3
692400,2017,515084250,2017-05-06,2018-03-04,8,"weekday",1,3
692400,2017,515084250,2017-05-06,2018-03-04,8,"weekend",2,3
692400,2017,515084250,2017-05-06,2018-03-04,9,"weekend",1,2
692400,2017,515084250,2017-05-06,2018-03-04,10,"weekday",0,4
692400,2017,515084250,2017-05-06,2018-03-04,10,"weekend",0,2
692400,2022,515097100,2022-05-07,2023-03-05,1,"weekend",0,1
692400,2022,515097100,2022-05-07,2023-03-05,5,"weekday",0,2
692400,2022,515097100,2022-05-07,2023-03-05,5,"weekend",0,7
692400,2022,515097100,2022-05-07,2023-03-05,6,"weekday",0,1
692400,2022,515097100,2022-05-07,2023-03-05,7,"weekday",0,1
692400,2022,515097100,2022-05-07,2023-03-05,7,"weekend",0,3
692400,2022,515097100,2022-05-07,2023-03-05,9,"weekday",1,2
692400,2022,515097100,2022-05-07,2023-03-05,9,"weekend",0,3
692400,2022,515097100,2022-05-07,2023-03-05,10,"weekday",1,2
692400,2022,515097100,2022-05-07,2023-03-05,10,"weekend",0,6
692400,2022,515097100,2022-05-07,2023-03-05,12,"weekday",0,1
716800,2015,515078190,2015-05-02,2016-03-06,2,"weekend",2,3
716800,2015,515078190,2015-05-02,2016-03-06,6,"weekend",1,2
716800,2015,515078190,2015-05-02,2016-03-06,7,"weekday",1,1
716800,2015,515078190,2015-05-02,2016-03-06,10,"weekday",0,1
716800,2021,515094739,2021-05-01,2022-03-06,1,"weekend",0,3
716800,2021,515094739,2021-05-01,2022-03-06,5,"weekday",0,6
716800,2021,515094739,2021-05-01,2022-03-06,5,"weekend",4,25
716800,2021,515094739,2021-05-01,2022-03-06,6,"weekday",0,5
716800,2021,515094739,2021-05-01,2022-03-06,6,"weekend",0,1
716800,2021,515094739,2021-05-01,2022-03-06,7,"weekday",0,3
716800,2021,515094739,2021-05-01,2022-03-06,7,"weekend",0,1
716800,2021,515094739,2021-05-01,2022-03-06,8,"weekday",0,1
716800,2021,515094739,2021-05-01,2022-03-06,9,"weekend",0,1
716800,2021,515094739,2021-05-01,2022-03-06,12,"weekday",0,5
973000,2003,96132,2003-05-03,2004-03-01,1,"weekend",0,1
973000,2003,96132,2003-05-03,2004-03-01,5,"weekend",0,1
973000,2003,96132,2003-05-03,2004-03-01,6,"weekend",1,3
973000,2003,96132,2003-05-03,2004-03-01,7,"weekday",0,1
973000,2003,96132,2003-05-03,2004-03-01,12,"weekday",1,1
973000,2015,515077880,2015-05-02,2016-03-06,5,"weekend",0,1
973000,2015,515077880,2015-05-02,2016-03-06,6,"weekday",1,2
973000,2015,515077880,2015-05-02,2016-03-06,6,"weekend",2,4
974200,2018,515086620,2018-05-05,2019-03-03,5,"weekend",3,6
974200,2018,515086620,2018-05-05,2019-03-03,6,"weekday",1,1
974200,2018,515086620,2018-05-05,2019-03-03,7,"weekday",1,7
974200,2018,515086620,2018-05-05,2019-03-03,7,"weekend",1,1
977500,2005,96020,2005-05-07,2006-03-05,1,"weekday",0,3
977500,2005,96020,2005-05-07,2006-03-05,1,"weekend",1,3
977500,2005,96020,2005-05-07,2006-03-05,2,"weekday",0,2
977500,2005,96020,2005-05-07,2006-03-05,5,"weekend",2,7
977500,2005,96020,2005-05-07,2006-03-05,6,"weekday",2,5
977500,2005,96020,2005-05-07,2006-03-05,6,"weekend",1,9
977500,2005,96020,2005-05-07,2006-03-05,7,"weekday",0,3
977500,2005,96020,2005-05-07,2006-03-05,7,"weekend",0,4
977500,2005,96020,2005-05-07,2006-03-05,12,"weekday",1,1
977500,2005,96020,2005-05-07,2006-03-05,12,"weekend",0,3
977500,2020,515092811,2020-05-02,2021-03-07,9,"weekday",0,4
977500,2020,515092811,2020-05-02,2021-03-07,9,"weekend",0,2
995000,2021,515094762,2021-05-01,2022-03-06,2,"weekday",0,1
995000,2021,515094762,2021-05-01,2022-03-06,5,"weekend",1,1
995000,2021,515094762,2021-05-01,2022-03-06,12,"weekday",0,1
995200,2016,515081418,2016-05-07,2017-03-05,2,"weekend",2,8
995200,2016,515081418,2016-05-07,2017-03-05,5,"weekday",0,5
995200,2016,515081418,2016-05-07,2017-03-05,7,"weekday",0,3
995200,2016,515081418,2016-05-07,2017-03-05,7,"weekend",1,9
995200,2016,515081418,2016-05-07,2017-03-05,8,"weekend",2,4
995200,2016,515081418,2016-05-07,2017-03-05,9,"weekday",0,2
1018500,2003,95802,2003-05-03,2004-03-01,5,"weekday",1,3
1018500,2003,95802,2003-05-03,2004-03-01,5,"weekend",1,3
1018500,2003,95802,2003-05-03,2004-03-01,6,"weekday",0,2
1018500,2003,95802,2003-05-03,2004-03-01,6,"weekend",1,2
1018500,2003,95802,2003-05-03,2004-03-01,12,"weekend",1,2
1018500,2006,98255,2006-05-06,2007-03-04,1,"weekend",0,2
1018500,2006,98255,2006-05-06,2007-03-04,5,"weekday",11,25
1018500,2006,98255,2006-05-06,2007-03-04,5,"weekend",3,10
1018500,2006,98255,2006-05-06,2007-03-04,6,"weekday",4,20
1018500,2006,98255,2006-05-06,2007-03-04,6,"weekend",2,13
1018500,2006,98255,2006-05-06,2007-03-04,7,"weekday",0,4
1018500,2006,98255,2006-05-06,2007-03-04,7,"weekend",1,5
1018500,2006,98255,2006-05-06,2007-03-04,8,"weekday",1,9
1018500,2006,98255,2006-05-06,2007-03-04,8,"weekend",2,7
1018500,2006,98255,2006-05-06,2007-03-04,9,"weekday",0,11
1018500,2006,98255,2006-05-06,2007-03-04,9,"weekend",1,2
1018500,2006,98255,2006-05-06,2007-03-04,10,"weekday",0,2
1018500,2006,98255,2006-05-06,2007-03-04,10,"weekend",1,2
1018500,2009,17212238,2009-05-02,2010-03-07,1,"weekend",0,1
1018500,2009,17212238,2009-05-02,2010-03-07,2,"weekend",0,2
1018500,2009,17212238,2009-05-02,2010-03-07,5,"weekday",6,22
1018500,2009,17212238,2009-05-02,2010-03-07,5,"weekend",10,15
1018500,2009,17212238,2009-05-02,2010-03-07,6,"weekday",8,32
1018500,2009,17212238,2009-05-02,2010-03-07,6,"weekend",6,17
1018500,2009,17212238,2009-05-02,2010-03-07,7,"weekday",2,7
1018500,2009,17212238,2009-05-02,2010-03-07,7,"weekend",2,6
1018500,2009,17212238,2009-05-02,2010-03-07,8,"weekend",2,9
1018500,2012,274816940,2012-05-05,2013-03-03,2,"weekday",1,3
1018500,2012,274816940,2012-05-05,2013-03-03,2,"weekend",0,2
1018500,2012,274816940,2012-05-05,2013-03-03,5,"weekday",0,1
1018500,2012,274816940,2012-05-05,2013-03-03,5,"weekend",2,5
1018500,2012,274816940,2012-05-05,2013-03-03,6,"weekday",1,22
1018500,2012,274816940,2012-05-05,2013-03-03,6,"weekend",0,5
1018500,2012,274816940,2012-05-05,2013-03-03,7,"weekday",1,6
1018500,2012,274816940,2012-05-05,2013-03-03,7,"weekend",0,3
1018500,2012,274816940,2012-05-05,2013-03-03,8,"weekday",0,1
1018500,2012,274816940,2012-05-05,2013-03-03,8,"weekend",0,1
1018500,2012,274816940,2012-05-05,2013-03-03,9,"weekend",0,1
1018500,2012,274816940,2012-05-05,2013-03-03,12,"weekday",1,6
1018500,2012,274816940,2012-05-05,2013-03-03,12,"weekend",2,5
1018500,2018,515086618,2018-05-05,2019-03-03,1,"weekend",1,4
1018500,2018,515086618,2018-05-05,2019-03-03,5,"weekday",2,12
1018500,2018,515086618,2018-05-05,2019-03-03,5,"weekend",1,12
1018500,2018,515086618,2018-05-05,2019-03-03,6,"weekday",1,7
1018500,2018,515086618,2018-05-05,2019-03-03,6,"weekend",1,2
1018500,2018,515086618,2018-05-05,2019-03-03,7,"weekday",1,12
1018500,2018,515086618,2018-05-05,2019-03-03,7,"weekend",1,2
1018500,2018,515086618,2018-05-05,2019-03-03,8,"weekday",0,2
1018500,2018,515086618,2018-05-05,2019-03-03,8,"weekend",2,6
1018500,2018,515086618,2018-05-05,2019-03-03,10,"weekday",0,2
1018500,2018,515086618,2018-05-05,2019-03-03,12,"weekday",0,1
1018500,2018,515086618,2018-05-05,2019-03-03,12,"weekend",0,3
1018500,2021,515094714,2021-05-01,2022-03-06,6,"weekend",0,1
1018500,2021,515094714,2021-05-01,2022-03-06,7,"weekday",1,1
1445600,2019,515089461,2019-05-04,2020-03-01,5,"weekday",1,1
1445600,2019,515089461,2019-05-04,2020-03-01,6,"weekend",1,2
1469100,2015,515077892,2015-05-02,2016-03-06,5,"weekend",0,1
1469100,2015,515077892,2015-05-02,2016-03-06,6,"weekday",0,1
1469100,2015,515077892,2015-05-02,2016-03-06,7,"weekend",0,1
1482400,2007,96248,2007-05-05,2008-03-02,1,"weekday",8,12
1482400,2007,96248,2007-05-05,2008-03-02,1,"weekend",4,8
1482400,2007,96248,2007-05-05,2008-03-02,2,"weekday",0,2
1482400,2007,96248,2007-05-05,2008-03-02,2,"weekend",0,1
1482400,2007,96248,2007-05-05,2008-03-02,5,"weekend",5,6
1482400,2007,96248,2007-05-05,2008-03-02,6,"weekend",3,5
1482400,2007,96248,2007-05-05,2008-03-02,7,"weekday",5,8
1482400,2007,96248,2007-05-05,2008-03-02,7,"weekend",1,4
1482400,2007,96248,2007-05-05,2008-03-02,8,"weekend",1,4
1482400,2007,96248,2007-05-05,2008-03-02,9,"weekday",0,1
1482400,2007,96248,2007-05-05,2008-03-02,10,"weekday",1,1
1482400,2007,96248,2007-05-05,2008-03-02,10,"weekend",6,16
1482400,2007,96248,2007-05-05,2008-03-02,12,"weekday",0,7
1482400,2007,96248,2007-05-05,2008-03-02,12,"weekend",3,4
1515400,2009,16315236,2009-03-01,2010-02-28,3,"weekday",0,1
1515400,2009,16315236,2009-03-01,2010-02-28,4,"weekday",0,6
1515400,2009,16315236,2009-03-01,2010-02-28,4,"weekend",0,8
1515400,2009,16315236,2009-03-01,2010-02-28,5,"weekend",1,5
1515400,2009,16315236,2009-03-01,2010-02-28,6,"weekday",0,1
1515400,2009,16315236,2009-03-01,2010-02-28,7,"weekday",1,1
1515400,2009,16315236,2009-03-01,2010-02-28,7,"weekend",0,2
1515400,2009,16315236,2009-03-01,2010-02-28,9,"weekend",0,1
1515400,2009,16315236,2009-03-01,2010-02-28,10,"weekend",0,3
1515400,2009,16315236,2009-03-01,2010-02-28,12,"weekend",0,1
1515400,2010,59714319,2010-03-01,2010-04-30,3,"weekend",0,1
1515400,2010,59714319,2010-03-01,2010-04-30,4,"weekday",0,7
1515400,2010,59714319,2010-03-01,2010-04-30,4,"weekend",1,6
1515400,2022,515097091,2022-05-07,2023-04-30,1,"weekday",0,2
1515400,2022,515097091,2022-05-07,2023-04-30,4,"weekday",0,1
1515400,2022,515097091,2022-05-07,2023-04-30,4,"weekend",0,3
1515400,2022,515097091,2022-05-07,2023-04-30,5,"weekend",1,2
1515400,2022,515097091,2022-05-07,2023-04-30,6,"weekend",0,1
1515400,2022,515097091,2022-05-07,2023-04-30,7,"weekday",1,2
1515400,2022,515097091,2022-05-07,2023-04-30,8,"weekday",0,2
1515400,2022,515097091,2022-05-07,2023-04-30,9,"weekday",0,4
1515400,2022,515097091,2022-05-07,2023-04-30,10,"weekend",0,1
1516400,2012,268294244,2012-05-05,2013-03-03,1,"weekend",1,4
1516400,2012,268294244,2012-05-05,2013-03-03,2,"weekday",1,1
1516400,2012,268294244,2012-05-05,2013-03-03,5,"weekend",0,7
1516400,2012,268294244,2012-05-05,2013-03-03,6,"weekday",0,1
1516400,2012,268294244,2012-05-05,2013-03-03,7,"weekend",0,1
1516400,2023,515099432,2023-05-06,2024-03-03,5,"weekend",1,5
1516400,2023,515099432,2023-05-06,2024-03-03,8,"weekday",0,1
1516400,2023,515099432,2023-05-06,2024-03-03,9,"weekend",1,2
1516500,2012,270778733,2012-05-05,2013-03-03,1,"weekend",1,3
1516500,2012,270778733,2012-05-05,2013-03-03,5,"weekday",1,31
1516500,2012,270778733,2012-05-05,2013-03-03,5,"weekend",6,77
1516500,2012,270778733,2012-05-05,2013-03-03,6,"weekday",0,6
